ticker,source_file,sentiment,confidence,headline
AAPL,AAPL_news.csv,neutral,0.8444,Why is Apple asking me to pay more for Big Tech’s AI obsession?
AAPL,AAPL_news.csv,neutral,0.945,"Prime Day Means Apple Deals on iPad, iPhone Cases, MagSafe Accessories, and More"
AAPL,AAPL_news.csv,neutral,0.8789,Nest’s quest to fix your thermostat
AAPL,AAPL_news.csv,neutral,0.8913,"While Jony Ive Is Designing Ferraris, Another Apple Designer Is Thinking Different About the Golf Cart"
AAPL,AAPL_news.csv,negative,0.9336,Apple Hikes Prices On Almost Everything Except iPhones
AAPL,AAPL_news.csv,neutral,0.7433,Apple Seeds New watchOS 27 Beta for Apple Watch Ultra 3
AAPL,AAPL_news.csv,negative,0.7651,iPhone 18 Pro and Foldable iPhone Tipped to Get Price Hikes Too
AAPL,AAPL_news.csv,neutral,0.6214,Apple’s latest AirTags are cheaper than ever for Prime Day
AAPL,AAPL_news.csv,neutral,0.9395,Apple Invites App Gets Co-Hosting
AAPL,AAPL_news.csv,negative,0.9277,The MacRumors Show: iPhone 18 Pro Has a Pricing Problem
AAPL,AAPL_news.csv,neutral,0.6478,Foldable iPhone 'Ultra' Still on Track for September Debut
AAPL,AAPL_news.csv,positive,0.5153,Apple Seeds watchOS 27 Beta 2 to Developers
AAPL,AAPL_news.csv,positive,0.9394,Micron exec suggests Apple’s aggressive purchasing tactics helped fuel memory shortage
AAPL,AAPL_news.csv,negative,0.5777,Micron Suggests Apple Helped Cause Memory Price Crisis
AAPL,AAPL_news.csv,positive,0.9062,"iPhone Ultra 2 Gets Green Light for Development, Says Leaker"
AAPL,AAPL_news.csv,neutral,0.9439,iPhone 18: Everything We Know About Apple's Biggest Updates
AAPL,AAPL_news.csv,neutral,0.9083,Apple's Price Hikes Aren't Just an AI Problem
AAPL,AAPL_news.csv,neutral,0.889,How Domo went from a $2.8 billion darling to fighting for its survival
AAPL,AAPL_news.csv,neutral,0.8347,19 great Prime Day deals on our favorite charging gear
AAPL,AAPL_news.csv,neutral,0.9436,Apple Watch Ultra 4 Expected Later This Year
AAPL,AAPL_news.csv,neutral,0.7354,iPhone 18 Pro and Pro Max May See $200 Price Increase
AAPL,AAPL_news.csv,neutral,0.8915,Ad-free streaming is a luxury now
AAPL,AAPL_news.csv,neutral,0.9337,Every New AirPods Feature in iOS 27
AAPL,AAPL_news.csv,neutral,0.7768,"Apple just raised prices on its site, but you can still snag these Prime Day deals before Amazon follows suit"
AAPL,AAPL_news.csv,neutral,0.9308,iOS 27 Beta 2 Adds Inline Replies to iPhone-to-Android RCS Chats
AAPL,AAPL_news.csv,neutral,0.856,Best Prime Day Fitness Tech Deals (2026)
AAPL,AAPL_news.csv,neutral,0.9052,The 10 Best Apple Prime Day Deals You Can Get for Under $100
AAPL,AAPL_news.csv,neutral,0.9277,Apple Releases Updated AirPods Beta Firmware With iOS 27 Features
AAPL,AAPL_news.csv,neutral,0.7889,Google Lowering Play Store Fees and Allowing Alternative Payments Worldwide
AAPL,AAPL_news.csv,neutral,0.7714,Apple Seeds iOS 27 and iPadOS 27 Second Betas to Developers
AAPL,AAPL_news.csv,positive,0.8673,Apple TV and HomePod Just Went Up in Price Amid Wait for New Models
